symbol,date,state,state_key,pulse,slope5,weekly,close,ret_5d,ret_10d,ret_20d,ret_60d
IREN,2022-01-31,趋势启动,trend_start,8.193,98.193,数据不足,13.17,0.16628698312047163,0.07061505693153225,0.14730444716361912,-0.24069856172589998
IREN,2022-02-01,二次启动,second_start,49.62,139.62,数据不足,13.83,0.038322468249816666,0.04989157902126129,0.11424439135373898,-0.28778015648533706
IREN,2022-02-25,二次启动,second_start,46.918,7.863,数据不足,14.47,-0.003455438134911004,0.19765028361430037,-0.005528674653057286,-0.6033172311546346
IREN,2022-03-31,趋势启动,trend_start,10.8,72.55,过渡,15.67,-0.10593489721314087,-0.21250797112271747,-0.44543717051221987,-0.8021697581659656
IREN,2022-08-03,趋势启动,trend_start,50.935,53.908,过渡,4.8,0.21041660664810302,0.10833332505491078,-0.15416671219799072,-0.2958333374725446
IREN,2022-08-04,二次启动,second_start,38.169,41.373,过渡,4.43,0.4040632124638994,0.2934537790314995,-0.09480803966854756,-0.21670425212824918
IREN,2023-01-10,趋势启动,trend_start,29.786,107.628,空头,1.63,0.17791408754686366,0.325153430766572,0.2730061679471669,0.8343558394378119
IREN,2023-01-12,二次启动,second_start,37.405,110.671,过渡,1.67,0.18562878440428365,0.24850304893827002,0.053892236940961125,1.3353294584364668
IREN,2023-02-15,二次启动,second_start,94.572,51.177,过渡,4.275,-0.29590645068639454,-0.415204691408287,-0.3029239876970439,-0.13684211113372913
IREN,2023-02-24,趋势退潮,trend_fade,88.88,-8.054,过渡,2.82,-0.0726950101272944,-0.0886524843681531,0.03900714046752185,0.4326241338620589
IREN,2023-03-14,趋势启动,trend_start,25.406,7.026,过渡,2.68,0.23880591438193322,0.033582056689353434,0.36194030016720435,0.33208949414784716
IREN,2023-03-20,二次启动,second_start,40.095,43.08,过渡,3.02,-0.09933773318245065,-0.013245020564786825,0.5331126303585167,0.15231789438814758
IREN,2023-04-10,二次启动,second_start,47.09,20.67,多头,3.35,0.2895523267590061,0.22089560269300557,-0.020895503055387565,0.8179105450618955
